State,Women Running,Percent Democrat,Percent Republican,state,bins,col,row,txt
Rhode Island,3,67,33,RI,61-80% Dem,12,4,State: Rhode Island<br />Women Running: 3<br />Percent Democrat: 67<br />Percent Republican: 33
South Carolina,5,40,60,SC,41-60% Dem,9,6,State: South Carolina<br />Women Running: 5<br />Percent Democrat: 40<br />Percent Republican: 60
South Dakota,3,0,100,SD,1-20% Dem,5,4,State: South Dakota<br />Women Running: 3<br />Percent Democrat: 0<br />Percent Republican: 100
Tennessee,9,44,56,TN,41-60% Dem,7,6,State: Tennessee<br />Women Running: 9<br />Percent Democrat: 44<br />Percent Republican: 56
Texas,57,74,26,TX,61-80% Dem,5,8,State: Texas<br />Women Running: 57<br />Percent Democrat: 74<br />Percent Republican: 26
Utah,8,62,38,UT,61-80% Dem,3,5,State: Utah<br />Women Running: 8<br />Percent Democrat: 62<br />Percent Republican: 38
Virginia,20,80,20,VA,81-100% Dem,9,5,State: Virginia<br />Women Running: 20<br />Percent Democrat: 80<br />Percent Republican: 20
Virgin Islands,1,100,0,VI,81-100% Dem,12,7,State: Virgin Islands<br />Women Running: 1<br />Percent Democrat: 100<br />Percent Republican: 0
Vermont,2,100,0,VT,81-100% Dem,11,2,State: Vermont<br />Women Running: 2<br />Percent Democrat: 100<br />Percent Republican: 0
Washington,12,83,17,WA,81-100% Dem,2,3,State: Washington<br />Women Running: 12<br />Percent Democrat: 83<br />Percent Republican: 17
Wisconsin,13,85,15,WI,81-100% Dem,7,2,State: Wisconsin<br />Women Running: 13<br />Percent Democrat: 85<br />Percent Republican: 15
West Virginia,5,60,40,WV,61-80% Dem,8,5,State: West Virginia<br />Women Running: 5<br />Percent Democrat: 60<br />Percent Republican: 40
Wyoming,5,20,80,WY,21-40% Dem,4,4,State: Wyoming<br />Women Running: 5<br />Percent Democrat: 20<br />Percent Republican: 80
